lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_zh	full_cat_zh
gæði	hk	nh	1479	1319.5	1449	Aðalatriðið er að	gæðin	aukist.	Aðalatriðið er að	gæðin	aukist.	caiːðɪ	Nafnorð	n.	2K												gæði	gæði	gæðum	gæða											gæði.mp3	quality; kindness	品质，人品；善良	名词
jafnaður	kk	nk	1479	1319.5	390846	Ráðherrar hafa að	jafnaði	tíu daga til að svara slíkum fyrirspurnum.	Ráðherrar hafa að	jafnaði	tíu daga til að svara slíkum fyrirspurnum.	japnaðʏr	Nafnorð	m.	2K									jafnað	jafnaði	jafnaðar															jafnaður.mp3	(always used in multiword expression, 'að jafnaði') usually, generally	（通常用于多词表达，'að jafnaði'）通常，一般	名词
lyfta	so	s	1478	1321	427595	Ég finn að landið er að	lyftast	.	Ég finn að landið er að	lyftast	.	lɪfta	Sagnorð	v.	2K	lyfti	lyftir	lyftir	lyfti	lyftir	lyfti	lyft																			lyfta.mp3	lift, raise	举起，抬起	动词
margvíslegur	lo	l	1477	1322.5	391179	Þetta hefði	margvísleg	áhrif í bæjarfélaginu að mati heimamanna.	Þetta hefði	margvísleg	áhrif í bæjarfélaginu að mati heimamanna.	markvistlɛɣʏr	Lýsingarorð	adj.	2K																					margvíslegur  --  margvísleg -- margvíslegt	margvíslegri -- margvíslegri -- margvíslegra	margvíslegastur -- margvíslegust -- margvíslegast			margvíslegur.mp3	varied, multifarious	多种多样的，五花八门的	形容词
samkynhneigður	lo	l	1477	1322.5	468481		Samkynhneigðum	karlmönnum er ekki heimilt að gefa blóð á Íslandi.		Samkynhneigðum	karlmönnum er ekki heimilt að gefa blóð á Íslandi.	samcʰɪneiɣðʏr	Atviksorð	adj.	2K																					samkynhneigður  --  samkynhneigð -- samkynhneigt					samkynhneigður.mp3	homosexual	同性恋的	形容词
átta	to	t	1476	1325.5	495420		Átta	síldveiðiskip eru nú að veiðum á Drekasvæðinu.		Átta	síldveiðiskip eru nú að veiðum á Drekasvæðinu.	auhta	Töluorð	num.	2K								átta																		átta.mp3	eight	八	数量词
sýslumaður	kk	nk	1475	1328	88881	Þessar aðgerðir	sýslumannsins	samræmdust ekki þeim tilmælum.	Þessar aðgerðir	sýslumannsins	samræmdust ekki þeim tilmælum.	sistlʏmaðʏr	Nafnorð	m.	2K									sýslumann	sýslumanni	sýslumanns	sýslumenn	sýslumenn	sýslumönnum	sýslumanna											sýslumaður.mp3	district magistrate	区长，市长	名词
þola	so	s	1474	1329	435724	Íslenski hesturinn	þoli	bæði þannig mikinn kulda og fæðuskort.	Íslenski hesturinn	þoli	bæði þannig mikinn kulda og fæðuskort.	θɔːla	Sagnorð	v.	2K	þoli	þolir	þolir	þoldi	þoldir	þoldi	þolað																			þola.mp3	stand, withstand; tolerate, put up with; suffer, endure	承受；容忍，忍受；受苦	动词
greitt	ao	a	1471	1330	402523	Þá segir hún dæmi um að fólk fái	greitt	undir lágmarkslaunum.	Þá segir hún dæmi um að fólk fái	greitt	undir lágmarkslaunum.	kreiht	Atviksorð	adv.	2K																								greiðar	greiðast	greitt.mp3	fast, quickly	快地，快速地	副词
athuga	so	s	1469	1331	419415	Forsvarsmenn borgarinnar ætla að	athuga	málið.	Forsvarsmenn borgarinnar ætla að	athuga	málið.	aːthʏɣa	Sagnorð	v.	2K	athuga	athugar	athugar	athugaði	athugaðir	athugaði	athugað																			athuga.mp3	look into; observe	调查；观察	动词
fjölbreyttur	lo	l	1467	1332	177135		Fjölbreytt	dagskrá er víða um land í tilefni dagsins.		Fjölbreytt	dagskrá er víða um land í tilefni dagsins.	fjœlpreihtʏr	Lýsingarorð	adj.	2K																					fjölbreyttur  --  fjölbreytt -- fjölbreytt	fjölbreyttari -- fjölbreyttari -- fjölbreyttara	fjölbreyttastur -- fjölbreyttust -- fjölbreyttast			fjölbreyttur.mp3	varied, many-sided, diverse	多样的，多方面的，多样的	形容词
gjöf	kvk	nv	1466	1333	10722	Þetta er besta	gjöf	sem ég hef fengið.	Þetta er besta	gjöf	sem ég hef fengið.	cœːv	Nafnorð	f.	2K									gjöf	gjöf	gjafar	gjafir	gjafir	gjöfum	gjafa											gjöf.mp3	gift, present; feeding; dealing (of cards)	礼物；喂食；发牌	名词
lofa	so	s	1462	1334	421760	Hann	lofar	flottri fjögurra daga hátíð.	Hann	lofar	flottri fjögurra daga hátíð.	lɔːva	Sagnorð	v.	2K	lofa	lofar	lofar	lofaði	lofaðir	lofaði	lofað																			lofa.mp3	promise; praise; permit	承诺；称赞；允许	动词
háttvirtur	lo	l	1459	1335.5	176824	Þetta er það sem	háttvirtur	þingmaður er að segja.	Þetta er það sem	háttvirtur	þingmaður er að segja.	hauhtvɪr̥tʏr	Lýsingarorð	adj.	2K																					háttvirtur  --  háttvirt -- háttvirt					háttvirtur.mp3	honored, distinguished	尊贵的	形容词
lifandi	lo	l	1459	1335.5	164647	Verð á	lifandi	hænum hefur rokið upp í Bretlandi undanfarin ár.	Verð á	lifandi	hænum hefur rokið upp í Bretlandi undanfarin ár.	lɪːvantɪ	Lýsingarorð	adj.	2K																					lifandi  --  lifandi -- lifandi					lifandi.mp3	alive, living	活着的	形容词
hérlendis	ao	a	1458	1337	496047	Engin tilfelli hafa verið greind	hérlendis	enn sem komið er.	Engin tilfelli hafa verið greind	hérlendis	enn sem komið er.	çɛrlɛntɪs	Atviksorð	adv.	2K								hérlendis																		hérlendis.mp3	in this country	在（本国）国内	副词
stóll	kk	nk	1457	1338	4753	Nýju húsgögnin eru öll úr eik og	stólarnir	klæddir leðri.	Nýju húsgögnin eru öll úr eik og	stólarnir	klæddir leðri.	stoutl̥	Nafnorð	m.	2K									stól	stól	stóls	stólar	stóla	stólum	stóla											stóll.mp3	chair	椅子	名词
fimmtudagur	kk	nk	1456	1339	86859	Kosningin opnaði í gær og á henni að ljúka á	fimmtudaginn	.	Kosningin opnaði í gær og á henni að ljúka á	fimmtudaginn	.	fɪm̥tʏtaɣʏr	Nafnorð	m.	2K									fimmtudag	fimmtudegi	fimmtudags	fimmtudagar	fimmtudaga	fimmtudögum	fimmtudaga											fimmtudagur.mp3	Thursday	周四	名词
atvik	hk	nh	1451	1340.5	71398	Þyrlan var á leið í útkall þegar	atvikið	átti sér stað.	Þyrlan var á leið í útkall þegar	atvikið	átti sér stað.	aːtvɪk	Nafnorð	n.	2K									atvik	atviki	atviks	atvik	atvik	atvikum	atvika											atvik.mp3	incident, occurrence	事件，发生	名词
gildandi	lo	l	1451	1340.5	390596	Um þetta eru engar reglur samkvæmt	gildandi	stjórnarskrá.	Um þetta eru engar reglur samkvæmt	gildandi	stjórnarskrá.	cɪltantɪ	Lýsingarorð	adj.	2K																					gildandi  --  gildandi -- gildandi					gildandi.mp3	approved, current	当前的适用的	形容词
ofbeldi	hk	nh	1450	1342	470980		Ofbeldið	getur verið líkamlegt , andlegt , hótanir eða ógnun.		Ofbeldið	getur verið líkamlegt , andlegt , hótanir eða ógnun.	ɔvpɛltɪ	Nafnorð	n.	2K									ofbeldi	ofbeldi	ofbeldis															ofbeldi.mp3	violence, force	暴力，武力	名词
athyglisverður	lo	l	1447	1343	413272		Athyglisvert	er að í 10 efstu sætunum eru allar Norðurlandaþjóðirnar.		Athyglisvert	er að í 10 efstu sætunum eru allar Norðurlandaþjóðirnar.	atʰɪklɪsvɛrðʏr	Lýsingarorð	adj.	2K																					athyglisverður  --  athyglisverð -- athyglisvert	athyglisverðari -- athyglisverðari -- athyglisverðara	athyglisverðastur -- athyglisverðust -- athyglisverðast			athyglisverður.mp3	intriguing, notable, interesting	有趣的，值得注意的	形容词
verðlaun	hk	nh	1446	1344.5	44024	Íslenska óperan fékk þrenn	verðlaun	.	Íslenska óperan fékk þrenn	verðlaun	.	vɛrðlœin	Nafnorð	n.	2K												verðlaun	verðlaun	verðlaunum	verðlauna											verðlaun.mp3	award; reward	奖；报酬	名词
vinnustaður	kk	nk	1446	1344.5	82835	Styttri vinnuvika er orðin að veruleika á tveimur	vinnustöðum	Reykjavíkurborgar.	Styttri vinnuvika er orðin að veruleika á tveimur	vinnustöðum	Reykjavíkurborgar.	vɪnʏstaðʏr	Nafnorð	m.	2K									vinnustað	vinnustað	vinnustaðar	vinnustaðir	vinnustaði	vinnustöðum	vinnustaða											vinnustaður.mp3	workplace	工作场所	名词
hótel	hk	nh	1445	1346	484931	Hann hefur líka valdið ónáði á	hótelum	í miðborginni.	Hann hefur líka valdið ónáði á	hótelum	í miðborginni.	houːtɛl	Nafnorð	n.	2K									hótel	hóteli	hótels	hótel	hótel	hótelum	hótela											hótel.mp3	hotel	酒店	名词
handa	fs	a	1443	1347.5	495289	Tilgangurinn er að safna peningum fyrir skólagögnum	handa	börnunum.	Tilgangurinn er að safna peningum fyrir skólagögnum	handa	börnunum.	hanta	Forsetning	prep.	2K								handa																		handa.mp3	for	为，给	介词
hlutabréf	hk	nh	1443	1347.5	21902	Þar í landi er algengt að fjölskyldur eigi	hlutabréf	.	Þar í landi er algengt að fjölskyldur eigi	hlutabréf	.	l̥ʏːtaprjɛf	Nafnorð	n.	2K									hlutabréf	hlutabréfi	hlutabréfs	hlutabréf	hlutabréf	hlutabréfum	hlutabréfa											hlutabréf.mp3	share, stock certificate; stock	股份，股票证书；股票	名词
léttur	lo	l	1442	1349	166149	Boðið verður upp á	léttar	veitingar og skemmtun í kjölfarið.	Boðið verður upp á	léttar	veitingar og skemmtun í kjölfarið.	ljɛhtʏr	Lýsingarorð	adj.	2K																					léttur  --  létt -- létt	léttari -- léttari -- léttara	léttastur -- léttust -- léttast			léttur.mp3	light; easy; cheerful	轻盈的；简单；快乐	形容词
vonandi	ao	a	1440	1350	495849	En það kemur	vonandi	í ljós þegar líður á daginn.	En það kemur	vonandi	í ljós þegar líður á daginn.	vɔːnantɪ	Atviksorð	adv.	2K								vonandi																		vonandi.mp3	hopefully	希望	副词
eldur	kk	nk	1439	1351.5	6087	Húsið var mannlaust þegar	eldurinn	kom upp.	Húsið var mannlaust þegar	eldurinn	kom upp.	ɛltʏr	Nafnorð	m.	2K									eld	eldi	elds	eldar	elda	eldum	elda											eldur.mp3	fire	火	名词
jafnan	ao	a	1439	1351.5	495641	Niðurstaðan sýndi að þeir sem eru ríkari eru	jafnan	hamingjusamari.	Niðurstaðan sýndi að þeir sem eru ríkari eru	jafnan	hamingjusamari.	japnan	Atviksorð	adv.	2K								jafnan																		jafnan.mp3	usually, as a rule	通常	副词
eyra	hk	nh	1437	1353	4317	Við trúðum vart eigin augum og	eyrum	, segir fararstjóri hópsins.	Við trúðum vart eigin augum og	eyrum	, segir fararstjóri hópsins.	eiːra	Nafnorð	n.	2K									eyra	eyra	eyra	eyru	eyru	eyrum	eyrna											eyra.mp3	ear	耳朵	名词
ætt	kvk	nv	1435	1354.5	10553	Hann eigi stórar fjölskyldur í báðar	ættir	.	Hann eigi stórar fjölskyldur í báðar	ættir	.	aiht	Nafnorð	f.	2K									ætt	ætt	ættar	ættir	ættir	ættum	ætta											ætt.mp3	family	家庭，家族	名词
sjóður	kk	nk	1435	1354.5	6885		Sjóðurinn	gerir þó nokkrar athugasemdir við frumvarpið.		Sjóðurinn	gerir þó nokkrar athugasemdir við frumvarpið.	sjouːðʏr	Nafnorð	m.	2K									sjóð	sjóði	sjóðs	sjóðir	sjóði	sjóðum	sjóða											sjóður.mp3	fund; treasure	基金；财富	名词
elska	so	s	1433	1356	419928	Ég treysti henni fyrir öllu og ég	elska	hana.	Ég treysti henni fyrir öllu og ég	elska	hana.	ɛlska	Sagnorð	v.	2K	elska	elskar	elskar	elskaði	elskaðir	elskaði	elskað																			elska.mp3	love	爱	动词
áhorfandi	kk	nk	1429	1357	297770	Hávaðinn var gríðarlegur og	áhorfendur	þurftu að halda fyrir eyrun.	Hávaðinn var gríðarlegur og	áhorfendur	þurftu að halda fyrir eyrun.	auːhɔrvantɪ	Nafnorð	m.	2K									áhorfanda	áhorfanda	áhorfanda	áhorfendur	áhorfendur	áhorfendum	áhorfenda											áhorfandi.mp3	viewer, spectator	观众，旁观者	名词
hádegi	hk	nh	1428	1358	23473	Kosningunni lýkur á	hádegi	á morgun.	Kosningunni lýkur á	hádegi	á morgun.	hauːteijɪ	Nafnorð	n.	2K									hádegi	hádegi	hádegis	hádegi	hádegi	hádegum	hádega											hádegi.mp3	midday, noon	中午	名词
óbreyttur	lo	l	1426	1359	177136	Allir skilmálar haldast	óbreyttir	.	Allir skilmálar haldast	óbreyttir	.	ouːpreihtʏr	Lýsingarorð	adj.	2K																					óbreyttur  --  óbreytt -- óbreytt	óbreyttari -- óbreyttari -- óbreyttara	óbreyttastur -- óbreyttust -- óbreyttast			óbreyttur.mp3	unchanged; simple, common	不变；简单，常见	形容词
varðveita	so	s	1422	1360	435559	Þór segir mikilvægt að	varðveita	gömul hús.	Þór segir mikilvægt að	varðveita	gömul hús.	varðveita	Sagnorð	v.	2K	varðveiti	varðveitir	varðveitir	varðveitti	varðveittir	varðveitti	varðveitt																			varðveita.mp3	preserve	保存	动词
dýr	lo	l	1421	1361	448386	Reykjavík er sjöunda	dýrasta	borg í heimi.	Reykjavík er sjöunda	dýrasta	borg í heimi.	tiːr	Lýsingarorð	adj.	2K																					dýr  --  dýr -- dýrt	dýrari -- dýrari -- dýrara	dýrastur -- dýrust -- dýrast			dýr.mp3	expensive, costly, precious	昂贵的，珍贵的	形容词
athugun	kvk	nv	1419	1362	473928	Við	athugun	hafi ekki komið fram vísbendingar um slíkt.	Við	athugun	hafi ekki komið fram vísbendingar um slíkt.	aːthʏɣʏn	Nafnorð	f.	2K									athugun	athugun	athugunar	athuganir	athuganir	athugunum	athugana											athugun.mp3	observation; examination	观察；审查	名词
gleði	kvk	nv	1417	1363.5	11117	Þannig að mikið af þessari	gleði	fer auðvitað fram utandyra.	Þannig að mikið af þessari	gleði	fer auðvitað fram utandyra.	klɛːðɪ	Nafnorð	f.	2K									gleði	gleði	gleði	gleðir	gleðir	gleðum	gleða											gleði.mp3	happiness, joy	幸福，快乐	名词
horn	hk	nh	1417	1363.5	1631	Húsið stendur á	horni	Grettisgötu og Barónsstígs.	Húsið stendur á	horni	Grettisgötu og Barónsstígs.	hɔrtn̥	Nafnorð	n.	2K									horn	horni	horns	horn	horn	hornum	horna											horn.mp3	horn; corner; angle	（乐器）号；角落；角度	名词
fjármagn	hk	nh	1413	1365	473750	En markmiðið er klárlega að tryggja	fjármagn	.	En markmiðið er klárlega að tryggja	fjármagn	.	fjaurmakn̥	Nafnorð	n.	2K									fjármagn	fjármagni	fjármagns															fjármagn.mp3	capital, money; budget	资本，金钱；预算	名词
henda	so	s	1412	1366	466691	Hann	hendir	ekki farsímum sínum þegar nýr er keyptur.	Hann	hendir	ekki farsímum sínum þegar nýr er keyptur.	hɛnta	Sagnorð	v.	2K	hendi	hendir	hendir	henti	hentir	henti	hent																			henda.mp3	throw; chuck	扔；抛	动词
hagnaður	kk	nk	1409	1367	390664	Athygli vekur að þetta er töluvert meiri	hagnaður	en árið áður.	Athygli vekur að þetta er töluvert meiri	hagnaður	en árið áður.	haknaðʏr	Nafnorð	m.	2K									hagnað	hagnaði	hagnaðar															hagnaður.mp3	profit, gain	利润，收益	名词
bifreið	kvk	nv	1407	1368	117218	Báðar	bifreiðarnar	eru óökufærar eftir áreksturinn.	Báðar	bifreiðarnar	eru óökufærar eftir áreksturinn.	pɪvreið	Nafnorð	f.	2K									bifreið	bifreið	bifreiðar	bifreiðar	bifreiðar	bifreiðum	bifreiða											bifreið.mp3	vehicle, car	车辆，汽车	名词
hönnun	kvk	nv	1406	1369.5	12775	Jólagjöfin í ár er íslensk	hönnun	.	Jólagjöfin í ár er íslensk	hönnun	.	hœnʏn	Nafnorð	f.	2K									hönnun	hönnun	hönnunar															hönnun.mp3	design	设计	名词
stýra	so	s	1406	1369.5	435416	Seðlabankinn	stýri	þeim aðgerðum.	Seðlabankinn	stýri	þeim aðgerðum.	stiːra	Sagnorð	v.	2K	stýri	stýrir	stýrir	stýrði	stýrðir	stýrði	stýrt																			stýra.mp3	steer, be at the wheel; direct	驾驶，掌控方向盘；指导，指挥	动词
kjör	hk	nh	1404	1371	486362		Kjör	íslenskra bænda myndu hins vegar skerðast.		Kjör	íslenskra bænda myndu hins vegar skerðast.	cʰœːr	Nafnorð	n.	2K									kjör	kjöri	kjörs	kjör	kjör	kjörum	kjara											kjör.mp3	election; conditions, terms	选举；条件，条款	名词
kollur	kk	nk	1403	1372.5	6098	Nú er sá tími ársins að slíkir sveppir skjóta upp	kollinum	.	Nú er sá tími ársins að slíkir sveppir skjóta upp	kollinum	.	kʰɔtlʏr	Nafnorð	m.	2K									koll	kolli	kolls	kollar	kolla	kollum	kolla											kollur.mp3	stool; head; top of the head	凳子；头；头顶	名词
veikindi	hk	nh	1403	1372.5	3984	Þá hyggst hún draga sig í hlé frá stjórnmálum vegna	veikinda	.	Þá hyggst hún draga sig í hlé frá stjórnmálum vegna	veikinda	.	veiːcɪntɪ	Nafnorð	n.	2K												veikindi	veikindi	veikindum	veikinda											veikindi.mp3	illness	疾病	名词
dómari	kk	nk	1401	1374.5	7841		Dómari	tók sér frest til hádegis í dag.		Dómari	tók sér frest til hádegis í dag.	touːmarɪ	Nafnorð	m.	2K									dómara	dómara	dómara	dómarar	dómara	dómurum	dómara											dómari.mp3	judge; referee, umpire	法官；裁判员	名词
samráð	hk	nh	1401	1374.5	54576	Þetta er gert í	samráði	við Umhverfisstofnun.	Þetta er gert í	samráði	við Umhverfisstofnun.	samrauð	Nafnorð	n.	2K									samráð	samráði	samráðs	samráð	samráð	samráðum	samráða											samráð.mp3	consultation	咨询	名词
bjartur	lo	l	1400	1376.5	166136	Óvenju	bjart	stjörnuhrap vakti athygli um miðnætti í gær.	Óvenju	bjart	stjörnuhrap vakti athygli um miðnætti í gær.	pjar̥tʏr	Lýsingarorð	adj.	2K																					bjartur  --  björt -- bjart	bjartari -- bjartari -- bjartara	bjartastur -- björtust -- bjartast			bjartur.mp3	bright, clear	明亮，清晰	形容词
vilji	kk	nk	1400	1376.5	394372	Þarna verður	vilji	íbúa látinn ráða.	Þarna verður	vilji	íbúa látinn ráða.	vɪljɪ	Nafnorð	m.	2K									vilja	vilja	vilja															vilji.mp3	will, intention	意志，意图	名词
hjónaband	hk	nh	1399	1378	18353	Lögum um	hjónabönd	verður hugsanlega breytt.	Lögum um	hjónabönd	verður hugsanlega breytt.	çouːnapant	Nafnorð	n.	2K									hjónaband	hjónabandi	hjónabands	hjónabönd	hjónabönd	hjónaböndum	hjónabanda											hjónaband.mp3	marriage	婚姻	名词
yfirvald	hk	nh	1398	1379	393467	Þeir furða sig á áhyggjuleysi	yfirvalda	í aðdraganda hrunsins.	Þeir furða sig á áhyggjuleysi	yfirvalda	í aðdraganda hrunsins.	ɪːvɪrvalt	Nafnorð	n.	2K									yfirvald	yfirvaldi	yfirvalds	yfirvöld	yfirvöld	yfirvöldum	yfirvalda											yfirvald.mp3	authority	权威	名词
stafa	so	s	1397	1380	424778	Fyrst var talið að veikindi mannanna	stöfuðu	af matareitrun eða timburmönnum.	Fyrst var talið að veikindi mannanna	stöfuðu	af matareitrun eða timburmönnum.	staːva	Sagnorð	v.	2K	stafa	stafar	stafar	stafaði	stafaðir	stafaði	stafað																			stafa.mp3	spell; spell out	拼写	动词
smám	ao	a	1395	1381	495760	Leiðtogi auðvitað verður til	smám	saman.	Leiðtogi auðvitað verður til	smám	saman.	smauːm	Atviksorð	adv.	2K								smám																		smám.mp3	gradually	逐步地	副词
persónulegur	lo	l	1394	1382.5	391615	Feðgarnir eru í	persónulegri	ábyrgð fyrir skuldinni.	Feðgarnir eru í	persónulegri	ábyrgð fyrir skuldinni.	pʰɛr̥sounʏlɛɣʏr	Lýsingarorð	adj.	2K																					persónulegur  --  persónuleg -- persónulegt	persónulegri -- persónulegri -- persónulegra	persónulegastur -- persónulegust -- persónulegast			persónulegur.mp3	personal, private	个人的，私人的	形容词
sigla	so	s	1394	1382.5	435251	Skipstjórinn brá þá á það ráð að	sigla	bátnum nær landi.	Skipstjórinn brá þá á það ráð að	sigla	bátnum nær landi.	sɪkla	Sagnorð	v.	2K	sigli	siglir	siglir	sigldi	sigldir	sigldi	siglt																			sigla.mp3	sail	航行，起航	动词
bót	kvk	nv	1392	1384	11101		Bæturnar	eiga að vera skattfrjálsar.		Bæturnar	eiga að vera skattfrjálsar.	pouːt	Nafnorð	f.	2K									bót	bót	bótar	bætur	bætur	bótum	bóta											bót.mp3	remedy, cure; patch; compensation	药品；修补；赔偿	名词
sjómaður	kk	nk	1390	1385	88710		Sjómenn	eru nú bjartsýnir í ljósi þessara nýju frétta.		Sjómenn	eru nú bjartsýnir í ljósi þessara nýju frétta.	sjouːmaðʏr	Nafnorð	m.	2K									sjómann	sjómanni	sjómanns	sjómenn	sjómenn	sjómönnum	sjómanna											sjómaður.mp3	fisherman, seaman	渔夫，海员	名词
breyttur	lo	l	1389	1386.5	390123	Því hafa verið uppi kröfur um	breytt	vinnubrögð.	Því hafa verið uppi kröfur um	breytt	vinnubrögð.	preihtʏr	Lýsingarorð	adj.	2K																					breyttur  --  breytt -- breytt	breyttari -- breyttari -- breyttara	breyttastur -- breyttust -- breyttast			breyttur.mp3	changed, different	变了，不一样了	形容词
skella	so	s	1389	1386.5	434327	Vélin	skall	á húsi á eyjunni Jövu.	Vélin	skall	á húsi á eyjunni Jövu.	scɛtla	Sagnorð	v.	2K	skell	skellur	skellur	skall	skallst	skall	skollið																			skella.mp3	chrash, bang, collide	碰撞，砰	动词
skella	so	s	1389	1386.5	435265	Þar var haldið gömludansaball og fólk	skellti	sér í aldamótaklæði.	Þar var haldið gömludansaball og fólk	skellti	sér í aldamótaklæði.	scɛtla	Sagnorð	v.	2K	skelli	skellir	skellir	skellti	skelltir	skellti	skellt																			skella.mp3	slam sth; ('skella sér') go for sth	使劲一推，猛摔； ('skella sér') 去做某事	动词
skattur	kk	nk	1388	1388	6396		Skatturinn	yrði hins vegar greiddur af launþegum þessa lands.		Skatturinn	yrði hins vegar greiddur af launþegum þessa lands.	skahtʏr	Nafnorð	m.	2K									skatt	skatti	skatts	skattar	skatta	sköttum	skatta											skattur.mp3	tax	税	名词
öðlast	so	s	1387	1389.5	478121	Annar þeirra hafði ekki	öðlast	ökuréttindi.	Annar þeirra hafði ekki	öðlast	ökuréttindi.	œðlast	Sagnorð	v.	2K	öðlast	öðlast	öðlast	öðlaðist	öðlaðist	öðlaðist	öðlast																			öðlast.mp3	obtain, get	获得，得到	动词
sænskur	lo	l	1387	1389.5	408910		Sænsk	rannsókn sýnir svipaðar niðurstöður.		Sænsk	rannsókn sýnir svipaðar niðurstöður.	sainskʏr	Lýsingarorð	adj.	2K																					sænskur  --  sænsk -- sænskt	sænskari -- sænskari -- sænskara	sænskastur -- sænskust -- sænskast			sænskur.mp3	Swedish	瑞典的	形容词
kær	lo	l	1386	1391	448404		Kærar	þakkir.		Kærar	þakkir.	cʰaiːr	Lýsingarorð	adj.	2K																					kær  --  kær -- kært	kærari -- kærari -- kærara	kærastur -- kærust -- kærast			kær.mp3	dear, beloved	亲爱的	形容词
sýn	kvk	nv	1385	1392	10560	Við fyrstu	sýn	virðist þó sem þeim hafi ekki fjölgað.	Við fyrstu	sýn	virðist þó sem þeim hafi ekki fjölgað.	siːn	Nafnorð	f.	2K									sýn	sýn	sýnar	sýnir	sýnir	sýnum	sýna											sýn.mp3	sight, view; vision	视线，视野；想象	名词
tilkynning	kvk	nv	1381	1393	133411	Slökkviliðinu barst	tilkynning	um eldinn um hálf ellefu leytið í gærkvöldi.	Slökkviliðinu barst	tilkynning	um eldinn um hálf ellefu leytið í gærkvöldi.	tʰɪlcʰɪniŋk	Nafnorð	f.	2K									tilkynningu	tilkynningu	tilkynningar	tilkynningar	tilkynningar	tilkynningum	tilkynninga											tilkynning.mp3	notification, announcement	通知，公告	名词
norður	ao	a	1380	1394.5	465383	Bátarnir eru farnir	norður	fyrir land til frekari rækjuveiða.	Bátarnir eru farnir	norður	fyrir land til frekari rækjuveiða.	nɔrðʏr	Atviksorð	adv.	2K																								norðar	nyrst	norður.mp3	north	北	副词
ytri	lo	l	1380	1394.5	435692	Skipstjórinn hlýddi fyrirmælum í nótt og beygði út á	ytri	leiðina.	Skipstjórinn hlýddi fyrirmælum í nótt og beygði út á	ytri	leiðina.	ɪtrɪ	Lýsingarorð	adj.	2K																					ytri  --	ytri -- ytri -- ytra	ystur -- yst -- yst			ytri.mp3	outer, further out; external	外，更远的；外部的	形容词
umtalsverður	lo	l	1377	1396	413456	Þetta er	umtalsverð	fjölgun.	Þetta er	umtalsverð	fjölgun.	ʏmtʰalsvɛrðʏr	Lýsingarorð	adj.	2K																					umtalsverður  --  umtalsverð -- umtalsvert					umtalsverður.mp3	considerable, substantial	相当大的，大量的	形容词
auglýsa	so	s	1375	1397	434509	Enginn sótti um þegar starfið var	auglýst	í síðasta mánuði.	Enginn sótti um þegar starfið var	auglýst	í síðasta mánuði.	œiɣlisa	Sagnorð	v.	2K	auglýsi	auglýsir	auglýsir	auglýsti	auglýstir	auglýsti	auglýst																			auglýsa.mp3	advertise, promote	宣传	动词
kjöt	hk	nh	1374	1398	1970		Kjötið	verður selt á Japansmarkaði.		Kjötið	verður selt á Japansmarkaði.	cʰœːt	Nafnorð	n.	2K									kjöt	kjöti	kjöts															kjöt.mp3	meat	肉	名词
kynslóð	kvk	nv	1373	1399	120101	Nokkuð hefur hins vegar fjölgað í annarri	kynslóð	innflytjenda.	Nokkuð hefur hins vegar fjölgað í annarri	kynslóð	innflytjenda.	cʰɪnstlouð	Nafnorð	f.	2K									kynslóð	kynslóð	kynslóðar	kynslóðir	kynslóðir	kynslóðum	kynslóða											kynslóð.mp3	generation	一代人	名词
sannarlega	ao	a	1370	1400	497701	Það var kominn svo	sannarlega	tími á þetta.	Það var kominn svo	sannarlega	tími á þetta.	sanarlɛɣa	Atviksorð	adv.	2K								sannarlega																		sannarlega.mp3	truly, really	真的，衷心地	副词
borgari	kk	nk	1369	1402	7799	Flestir sem þurfa á slíkri aðgerð að halda eru eldri	borgarar	.	Flestir sem þurfa á slíkri aðgerð að halda eru eldri	borgarar	.	pɔrkarɪ	Nafnorð	m.	2K									borgara	borgara	borgara	borgarar	borgara	borgurum	borgara											borgari.mp3	citizen	公民	名词
stöðva	so	s	1369	1402	423615	Einn ökumaður var	stöðvaður	, grunaður um akstur undir áhrifum áfengis.	Einn ökumaður var	stöðvaður	, grunaður um akstur undir áhrifum áfengis.	stœðva	Sagnorð	v.	2K	stöðva	stöðvar	stöðvar	stöðvaði	stöðvaðir	stöðvaði	stöðvað																			stöðva.mp3	stop	停止	动词
vísindamaður	kk	nk	1369	1402	89137		Vísindamenn	vara við gosdrykkjadrykkju.		Vísindamenn	vara við gosdrykkjadrykkju.	viːsɪntamaðʏr	Nafnorð	m.	2K									vísindamann	vísindamanni	vísindamanns	vísindamenn	vísindamenn	vísindamönnum	vísindamanna											vísindamaður.mp3	scientist	科学家	名词
salur	kk	nk	1368	1404	5662	Stóri	salur	Háskólabíós var nær fullsetinn.	Stóri	salur	Háskólabíós var nær fullsetinn.	saːlʏr	Nafnorð	m.	2K									sal	sal	salar	salir	sali	sölum	sala											salur.mp3	hall, assembly-room	大厅，会议室	名词
